Title,Content,Category,Type
"<a target=_blank href=https://drive.google.com/file/d/0BzwsVf_VMR5JS3ppNUpPeDcyakU><div style=""height:100%;width:100%"">Wood Heat Solutions</div></a>",A Community Guide to Biomass Thermal Projects: produced by Resource Innovations at the University of Oregon.,InfoGuide,
"<a target=_blank href=https://drive.google.com/file/d/0BzwsVf_VMR5JY0R4MFhNUUpfZFU><div style=""height:100%;width:100%"">IG003 - Woody Biomass Definitions and Conversion Factors</div></a>",A look at the new formaldehyde standards adopted by the California Air Resource Board (CARB) in April 2007 and their potential impacts on the panel board industry,InfoGuide,
"<a target=_blank href=https://drive.google.com/file/d/0BzwsVf_VMR5JbWRwT2xlOFppZFE><div style=""height:100%;width:100%"">IG001 - Formaldehyde Use in Wood Based Panels</div></a>","A simple glossary of terms, units used and conversion factors relating to woody biomass",InfoGuide,
"<a target=_blank href=https://drive.google.com/file/d/0B9-9Vlx0SkkFRnN5aDlRSE5OdGs><div style=""height:100%;width:100%"">Due Dilligence for Technology Development</div></a>","Presentation highlighting key considerations when selecting for a biomass conversion system. Presented by Dr. Peter Tittmann at the Biomass Working Group meeting on February 18, 2014.",InfoGuide,Presentation
"<a target=_blank href=https://drive.google.com/file/d/0BzwsVf_VMR5JQmVlYmpDWlBwbWs><div style=""height:100%;width:100%"">IG002 - Use of Wood as a Media For Odor Control</div></a>",The results of a brief literature and internet search for information relating to the use of wood chips as an air filtration media,InfoGuide,
"<a target=_blank href=https://drive.google.com/file/d/0BzwsVf_VMR5JaC02Q3JuX0g0dEE><div style=""height:100%;width:100%"">2008 Farm Bill Renewable Energy Provisions</div></a>",USDA factsheet on Title IX of the 2008 Farm Bill which focuses on the Renewable Energy Provisions,InfoGuide,
"<a target=_blank href=https://drive.google.com/file/d/0BzwsVf_VMR5JZUI4RGllSThPY2s><div style=""height:100%;width:100%"">Woody Biomass Utilization Desk Guide</div></a>","USDA Forest Service, August 2007",InfoGuide,
"<a target=_blank href=https://drive.google.com/file/d/0B6Ry2N7B07BHSkpWdGoxRmVQcHM><div style=""height:100%;width:100%"">Woody Biomass Factsheet 01</div></a>",Introduction to Woody Biomass,InfoGuide,Factsheet
"<a target=_blank href=https://drive.google.com/file/d/0B6Ry2N7B07BHQ2UxVFBmd1ZtbzA><div style=""height:100%;width:100%"">Woody Biomass Factsheet 02</div></a>",Densified Wood Fuels,InfoGuide,Factsheet
"<a target=_blank href=https://drive.google.com/file/d/0B6Ry2N7B07BHakU4VFZGMGdQU3c><div style=""height:100%;width:100%"">Woody Biomass Factsheet 03</div></a>",Electricity from Woody Biomass,InfoGuide,Factsheet
"<a target=_blank href=https://drive.google.com/file/d/0B6Ry2N7B07BHN2NzRUZZYTNxaVE><div style=""height:100%;width:100%"">Woody Biomass Factsheet 04</div></a>",Pyrolysis,InfoGuide,Factsheet
"<a target=_blank href=https://drive.google.com/file/d/0B6Ry2N7B07BHVTNQWXBqbGJiZ2M><div style=""height:100%;width:100%"">Woody Biomass Factsheet 05</div></a>",Gasification,InfoGuide,Factsheet